"Codigo";"Desc Capacid";
"000002";"0,002 KILOS";
"000003";"0,003 KILOS";
"000009";"0,009 KILOS";
"000010";"0,010 KILOS";
"000011";"0,010 LITROS";
"000014";"0,014 KILOS";
"000020";"0,020 KILOS";
"000021";"0,020 LITROS";
"000025";"0,025 KILOS";
"000030";"0,030 LITROS";
"000033";"0,330 LITROS";
"000038";"0,038 KILOS";
"000040";"0,040 KILOS";
"000041";"0,040 LITROS";
"000046";"0,046 KILOS";
"000050";"0,050 KILOS";
"000060";"0,060 LITROS";
"000070";"0,070 KILOS";
"000075";"0,075 KILOS";
"000100";"0,100 LITROS";
"000101";"0,100 KILOS";
"000113";"0,113 LITROS";
"000115";"0,115 LITROS";
"000120";"0,120 LITROS";
"000121";"0,120 KILOS";
"000123";"0,123 KILOS";
"000125";"0,125 LTROS";
"000130";"0,130 LITROS";
"000146";"0,046 KILOS";
"000150";"0,150 LITROS";
"000155";"0,155 KILOS";
"000160";"0,160 KILOS";
"000170";"0,170 LITROS";
"000180";"0,180 LITROS";
"000183";"0,183 KILOS";
"000190";"0,190 LITROS";
"000191";"0,190 KILOS";
"000200";"0,200 KILOS";
"000201";"0,200 LITROS";
"000206";"0,206 KILOS";
"000217";"0,217 LITROS";
"000220";"0,220 KILOS";
"000225";"0,225 LITROS";
"000230";"0,230 LITROS";
"000236";"0,236 LITROS";
"000237";"0,237 KILOS";
"000240";"0,240 LITROS";
"000241";"0,240 KILOS";
"000246";"0,046 KILOS";
"000250";"0,250 LITROS";
"000251";"0,250 KILOS";
"000280";"0,280 KILOS";
"000281";"0,280 LITROS";
"000290";"0,290 KILOS";
"000300";"0,300 LITROS";
"000301";"0,300 KILOS";
"000310";"0,310 KILOS";
"000311";"0,311 KILOS";
"000312";"0,312 LITROS";
"000320";"0,320 KILOS";
"000325";"0,325 KILOS";
"000330";"0,330 LITROS";
"000331";"0,330 KILOS";
"000340";"0,340 KILOS";
"000341";"0,340 LITROS";
"000346";"0,046";
"000350";"0,350 KILOS";
"000351";"0,350 LITROS";
"000360";"0,360 LTS";
"000368";"0,368 KILOS";
"000380";"0,380 KILOS";
"000400";"0,400 KILOS";
"000401";"0,400 LITROS";
"000410";"0,410 LITROS";
"000420";"0,420 KILOS";
"000425";"0,425";
"000440";"0,440 LITROS";
"000450";"0,450 LITROS";
"000451";"0,450 KILOS";
"000454";"0,454 LITROS";
"000470";"0,470 LITROS";
"000473";"0,473 LITROS";
"000480";"0,480 LITROS";
"000481";"0,480 KILOS";
"000482";"0,482 KILOS";
"000500";"0,500 LITROS";
"000501";"0,500 KILOS";
"000535";"0,535 KILOS";
"000539";"0,539 KILOS";
"000540";"0,540 KILOS";
"000550";"0,550 LITROS";
"000555";"0,555 KILOS";
"000600";"0,600 KILOS";
"000601";"0,600 LITROS";
"000625";"0,625 LITROS";
"000630";"0,630 LITROS";
"000650";"0,650 LITROS";
"000670";"0,670 LITROS";
"000675";"0,675 LITROS";
"000700";"0,700 LITROS";
"000701";"0,700 KILOS";
"000710";"0,710 LITROS";
"000720";"0,720 LITROS";
"000740";"0,740 LITROS";
"000750";"0,750 LITROS";
"000751";"0,750 KILOS";
"000800";"0,800 LITROS";
"000850";"0,850 LITROS";
"000875";"0,875 LITROS";
"000880";"0,880 LITROS";
"000887";"0,887LITROS";
"000900";"0,900 LITROS";
"000910";"0,910 LITROS";
"000930";"0,930 LITROS";
"000940";"0,940 LITROS";
"000946";"0,946 LITROS";
"000950";"0,950 LITROS";
"000951";"0,950 KILOS";
"000960";"0,960 LITROS";
"000970";"0,970 LITROS";
"001000";"1,000 UNIDAD";
"001001";"1,000 LITROS";
"001002";"1,000 METROS";
"001003";"1,000 KILOS";
"001090";"1,090 KILOS";
"001170";"1,170 KILOS";
"001171";"1,170 KILOS";
"001200";"1,200 LITROS";
"001201";"1,200 KILOS";
"001250";"1,250 KIILOS";
"001340";"1,340 KILOS";
"001430";"1,430 LITROS";
"001450";"1,450 KILOS";
"001500";"1,500 KILOS";
"001501";"1,500 LITROS";
"001555";"1,550 LITROS";
"002000";"2,000 KILOS";
"002001";"2,000 UNIDAD";
"002002";"2,000 LITROS";
"002010";"2,10 LITROS";
"002250";"2,250 KILOS";
"002340";"2,340 LITROS";
"002400";"2,400 LITROS";
"002500";"2,500 LITROS";
"002501";"2,500 KILOS";
"002800";"2,800 KILOS";
"003000";"3,000 LITROS";
"003001";"3,000 KILOS";
"003020";"3,200 LITROS";
"003240";"3,240 LITROS";
"003250";"3,250 KILOS";
"003500";"3,500 LITROS";
"003501";"3,500 KILOS";
"003530";"3,53 LITROS";
"003600";"3,600 LITROS";
"003620";"3,620 LITROS";
"003700";"3,7 LITROS";
"003720";"3,720 LITROS";
"003750";"3,750 LITROS";
"003760";"3,760 LITROS";
"003780";"3,780 LITROS";
"003785";"3,785 LITROS";
"003840";"3,840 LITROS";
"003875";"3,875 LITROS";
"003880";"3,880 LITROS";
"004000";"4,000 LITROS";
"004001";"4,000 KILOS";
"004601";"4,600 KILOS";
"004800";"4,800 KILOS";
"004801";"4,800 KILOS";
"005000";"5,000 LITROS";
"005001";"5,000 KILOS";
"006000";"6,000 KILOS";
"006001";"6,000 LITROS";
"007000";"7,000 KILOS";
"007001";"7,2 L";
"008000";"8,000 KILO";
"008001";"8,000 LITROS";
"008700";"8,700 LITROS";
"009000";"9,000 LITROS";
"009300";"9,300 LITROS";
"009400";"9,400 LITROS";
"010000";"10,000 LITROS";
"010001";"10,000 KILOS";
"010002";"10,000 METROS";
"010123";"0,123 KILOS";
"011000";"11 KILOS";
"011001";"11,000 KILOS";
"01134";"11,340LITROS";
"012000";"12,000 KILOS";
"012001";"12,000 LITRO";
"012500";"12,500KILO";
"012501";"12,500 LITROS";
"014000";"14,000 KILOS";
"015000";"15,000 LITROS";
"015100";"15,100 LITROS";
"016000";"16,000 KILOS";
"016100";"16,000 LITROS";
"017400";"17,400 LITROS";
"018000";"18,000 LITROS";
"018001";"18,000 KILOS";
"018100";"18,100 LITROS";
"018500";"18,500 LITROS";
"018600";"18,600 LITROS";
"018800";"18,800 LITROS";
"018900";"18,900 LITROS";
"019200";"19,200 LITROS";
"019400";"19,400 LITROS";
"019630";"19,630 LITROS";
"019640";"19,64 LTS";
"020000";"20,000 LITROS";
"020001";"20,000 KILOS";
"020002";"21,000 KILOS";
"021500";"21,500 KILOS";
"021501";"21,500 KILOS";
"022000";"22,000 KILOS";
"022001";"22,000 LITROS";
"024000";"24,000 KILOS";
"025000";"25,000 METROS";
"025001";"25,000 LITROS";
"025002";"25,000 KILOS";
"027000";"27,000 KG";
"028000";"28,000 KILOS";
"030000";"30,000 KILOS";
"030001";"30,000 LITROS";
"032001";"32,000 LITROS";
"040000";"40,000 LITROS";
"045000";"45,000 METROS";
"100000";"1 TN";
"100009";"0,090 KILOS";
"200000";"200,000 LITROS";
"200001";"200,000 KILOS";

